yaw,r,theta,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN
-15.0,0.258134591992,240.0,16.467703621802805,53.168657210001015,17.48540392377414,54.323809512241496
-15.0,0.258134591992,250.0,16.463833319663134,51.75200941537201,17.817599171132937,53.030022879273744
-15.0,0.258134591992,260.0,16.45850218360159,50.302934876309855,18.15863965402528,51.735002148258886
-15.0,0.258134591992,270.0,16.451832950448193,48.871828865807096,18.497560872036868,50.48137275876964
-15.0,0.258134591992,280.0,16.44399691274109,47.50227325500784,18.82093003962998,49.29685441728691
-15.0,0.258134591992,290.0,16.4352103761806,46.230123394365705,19.114868545907413,48.199242248220166
-15.0,0.258134591992,300.0,16.425729445100686,45.08353990140195,19.37195854272916,47.22126226597503
-15.0,0.258134591992,310.0,16.415843321144347,44.08369737149962,19.584197687686466,46.39362727807065
-15.0,0.258134591992,320.0,16.405866086215642,43.2458766959438,19.74076886106874,45.722856572745705
-15.0,0.258134591992,330.0,16.39612685678243,42.58068454680051,19.83542432620502,45.21373417791472
-15.0,0.258134591992,340.0,16.386958275903893,42.09520966896808,19.86599390563854,44.88093079064283
-15.0,0.258134591992,350.0,16.378683521442323,41.7939935983437,19.83101468965792,44.73315217457254
-15.0,0.28853979201,0.0,17.265543508247603,37.62235594244854,20.970066876627524,41.64663477922837
-15.0,0.28853979201,10.0,17.259338539582263,37.68352309376552,20.80888939652904,41.85788738974142
-15.0,0.28853979201,20.0,17.255257660681657,37.91455706415527,20.5970264397124,42.25960019188082
-15.0,0.28853979201,30.0,17.25347915620278,38.314353279473615,20.34338778194964,42.8480868360623
-15.0,0.28853979201,40.0,17.254072468849525,38.87987822722397,20.054954448027228,43.6042192898712
-15.0,0.28853979201,50.0,17.25705113058504,39.60605542141357,19.74108163322424,44.50907182269944
-15.0,0.28853979201,60.0,17.262309967001993,40.48441246942111,19.4202944990568,45.57079245294866
-15.0,0.28853979201,70.0,17.269597318496945,41.50123878257872,19.09768764698245,46.748738781523976
-15.0,0.28853979201,80.0,17.278643091627682,42.638177158008894,18.776765210751147,47.9833469057281
-15.0,0.28853979201,90.0,17.289100429344956,43.87069327567645,18.48350351600952,49.29135396278838
-15.0,0.28853979201,100.0,17.30055604785266,45.16612899280418,18.199961302614085,50.55716742847381
-15.0,0.28853979201,110.0,17.31259007921986,46.48509549999073,17.94354961000145,51.76733287416094
-15.0,0.28853979201,120.0,17.32477774747213,47.78157813767023,17.71920692795128,52.87075507071403
-15.0,0.28853979201,130.0,17.336744571402605,49.005013371704784,17.536502816491183,53.83791802024295
-15.0,0.28853979201,140.0,17.34814646304944,50.10290690424794,17.404089365935807,54.646050570192486
-15.0,0.28853979201,150.0,17.35868851432891,51.02446673285917,17.320935456889657,55.25142440371718
-15.0,0.28853979201,160.0,17.368128433687215,51.72463489414236,17.288411587090973,55.62197472429649
-15.0,0.28853979201,170.0,17.376263755778087,52.16785946942046,17.30738822210513,55.74413561326088
-15.0,0.28853979201,180.0,17.382927148972794,52.331350445091374,17.37768442077464,55.61543320856373
-15.0,0.28853979201,190.0,17.387980677087068,52.20708511071447,17.49840884116722,55.24423274742568
-15.0,0.28853979201,200.0,17.39131215761482,51.8025047171969,17.66765150489125,54.6492577304373
-15.0,0.28853979201,210.0,17.392836340229238,51.13971764181959,17.8823886253334,53.85882133000647
-15.0,0.28853979201,220.0,17.39249750338664,50.2534225336556,18.142240979332644,52.91955410252195
-15.0,0.28853979201,230.0,17.39027411986371,49.1876434297848,18.43875750995128,51.86646477677375
-15.0,0.28853979201,240.0,17.38619108774215,47.99199917360831,18.764826886649445,50.7387305371107
-15.0,0.28853979201,250.0,17.380322188808204,46.71777218471537,19.10364882681708,49.55476786814472
-15.0,0.28853979201,260.0,17.37278359076737,45.41440685446835,19.44901593415344,48.36066105344898
-15.0,0.28853979201,270.0,17.363760786821587,44.12698292870263,19.79018616204197,47.19724821882872
-15.0,0.28853979201,280.0,17.353483478800786,42.89427526761144,20.112284487905068,46.08513048616996
-15.0,0.28853979201,290.0,17.342224653644905,41.74863367193196,20.4006119843066,45.03745376153766
-15.0,0.28853979201,300.0,17.3303044956228,40.71477086532327,20.650614225191905,44.09574270317305
-15.0,0.28853979201,310.0,17.318056535121496,39.811549570759766,20.856351080310333,43.29650118778164
-15.0,0.28853979201,320.0,17.30588068285984,39.05342538869679,21.005271786768603,42.63909820966221
-15.0,0.28853979201,330.0,17.294166859125415,38.44998739444635,21.091892395721995,42.13034338054096
-15.0,0.28853979201,340.0,17.28328655888756,38.00764096415672,21.11520005455944,41.789701361587646
-15.0,0.28853979201,350.0,17.27363028499721,37.73087297011163,21.07369200041112,41.625522460548886
-15.0,0.326110072682,0.0,18.221143875357548,30.4758675784456,21.726656974352696,33.67189712892367
-15.0,0.326110072682,10.0,18.210732956892453,30.50768936947759,21.56179270077773,33.85475634595187
-15.0,0.326110072682,20.0,18.20324225286165,30.687964263568155,21.34542853597105,34.223879166933045
-15.0,0.326110072682,30.0,18.19902164470458,31.016367118086094,21.08713154878605,34.778662391836626
-15.0,0.326110072682,40.0,18.1983856174616,31.49150835392563,20.79198370686601,35.48993369638739
-15.0,0.326110072682,50.0,18.201518226819225,32.109826780800894,20.470381753317792,36.343248791629954
-15.0,0.326110072682,60.0,18.20841119895296,32.864311774690286,20.146863351068077,37.37675557093467
-15.0,0.326110072682,70.0,18.21895554069464,33.74485087920327,19.82447966404887,38.53354091985989
-15.0,0.326110072682,80.0,18.23281581969516,34.73577865588788,19.500063248217064,39.72520657788155
-15.0,0.326110072682,90.0,18.24948934860004,35.8156840455835,19.20517368836802,41.00157586536705
-15.0,0.326110072682,100.0,18.26832341410563,36.9562578446556,18.91870586490741,42.22637222252834
-15.0,0.326110072682,110.0,18.28857288892286,38.12312323613633,18.65987244485233,43.39495050087528
-15.0,0.326110072682,120.0,18.309445150967925,39.27446371772171,18.42914996657284,44.44394353088572
-15.0,0.326110072682,130.0,18.33014708863505,40.367751221786,18.24147823855605,45.36781078942061
-15.0,0.326110072682,140.0,18.349987267704982,41.35258340749756,18.11006912054235,46.16128417295724
-15.0,0.326110072682,150.0,18.36837750807808,42.18354095586136,18.029391563357727,46.76267426336424
-15.0,0.326110072682,160.0,18.384700427641395,42.82155806661015,17.99983471643439,47.13846982553864
-15.0,0.326110072682,170.0,18.39854448754075,43.23358408862519,18.02196574932542,47.27633592867988
-15.0,0.326110072682,180.0,18.409609641212285,43.398131682639686,18.09523970157424,47.17292305687302
-15.0,0.326110072682,190.0,18.417675016090293,43.30758163113516,18.21867343574895,46.83545342769101
-15.0,0.326110072682,200.0,18.422590181681606,42.9682205080919,18.390243730452173,46.28066784231002
-15.0,0.326110072682,210.0,18.42426476213772,42.40003544678882,18.606833433065724,45.53461223342013
-15.0,0.326110072682,220.0,18.42268580397247,41.634298371287535,18.87267417990201,44.65878823834609
-15.0,0.326110072682,230.0,18.41805640852628,40.70823233863931,19.17695829673055,43.67642033975051
-15.0,0.326110072682,240.0,18.410516590030305,39.66522042084416,19.51146832402841,42.622238376070605
-15.0,0.326110072682,250.0,18.400197989860946,38.553196404848045,19.85621266102388,41.49756294963442
-15.0,0.326110072682,260.0,18.3874828172964,37.41303941687202,20.20435032139021,40.34914661014972
